epochs,walk_length,window,n_walks,d,neg_samples,mean_auc,std_auc,min_auc,max_auc,n_windows,time_seconds,error,auc_2000_2005,auc_2005_2010,auc_2010_2015,auc_2015_2020
5,20,5,20,32,10,0.6981701089328328,0.008927411619893787,0.6835632847454185,0.7063267995875826,4,487.1323068141937,,0.704403637627638,0.6835632847454185,0.6983867137706922,0.7063267995875826
5,30,7,10,32,10,0.6975514487910047,0.008860796302927715,0.6829902365443289,0.7056063713972249,4,520.7643439769745,,0.703631098675815,0.6829902365443289,0.6979780885466498,0.7056063713972249
5,40,5,10,32,10,0.6984294922718011,0.009027080436688078,0.6836637664212121,0.7068188019230763,4,530.0392155647278,,0.7045516573197258,0.6836637664212121,0.6986837434231902,0.7068188019230763
5,30,10,20,32,5,0.6989940948451232,0.008985923163867952,0.6842492232198741,0.7068236964465061,4,937.1086497306824,,0.7056425667531394,0.6842492232198741,0.6992608929609729,0.7068236964465061
5,20,3,10,64,15,0.6975821826895761,0.008799861269058672,0.6830917526957705,0.7053334650958882,4,208.6164677143097,,0.7038661378900644,0.6830917526957705,0.6980373750765807,0.7053334650958882
5,40,7,20,32,5,0.6995926237988572,0.00892814733775025,0.6850591454144395,0.7075328957059367,4,965.2945203781128,,0.7062687360109725,0.6850591454144395,0.6995097180640802,0.7075328957059367
5,20,3,10,128,5,0.6977435432609425,0.008647537774017465,0.6834640284121188,0.7050094462804981,4,104.30989146232605,,0.7042358450941006,0.6834640284121188,0.6982648532570527,0.7050094462804981
5,20,3,10,128,10,0.6974417478910186,0.008749818643517848,0.6829260012136429,0.7045689178154823,4,158.51568627357483,,0.7040888585807074,0.6829260012136429,0.6981832139542421,0.7045689178154823
5,20,10,10,32,15,0.6971857150536891,0.008866287837664239,0.6826308710881892,0.7053087714778753,4,552.2560422420502,,0.7032240869963068,0.6826308710881892,0.6975791306523852,0.7053087714778753
5,20,3,10,128,15,0.6976036273091353,0.00863330880942657,0.6833738199499203,0.7051261137855691,4,210.7817132472992,,0.7038353762667893,0.6833738199499203,0.6980791992342629,0.7051261137855691
5,30,3,20,32,15,0.699740395557277,0.009064115504894289,0.6849171622994658,0.7079738107077671,4,637.7209250926971,,0.7061499907062504,0.6849171622994658,0.6999206185156246,0.7079738107077671
5,20,5,20,32,15,0.6981421046576755,0.009044130377893485,0.6833289360562388,0.7064300088545997,4,650.980042219162,,0.7043860385389773,0.6833289360562388,0.6984234351808859,0.7064300088545997
