epochs,walk_length,window,n_walks,d,neg_samples,mean_auc,std_auc,min_auc,max_auc,n_windows,time_seconds
3,20,7,30,32,10,0.698042816632036,0.009007317538842546,0.6833076742774113,0.7063476271406931,4,429.4319040775299
3,20,7,30,32,15,0.6981460463186042,0.008974790872880807,0.6834636101217888,0.7063811992444123,4,568.4272263050079
3,20,7,30,64,5,0.6978709240447276,0.008975555787497555,0.6831734111522476,0.7060410273382859,4,290.19250297546387
3,20,7,30,64,10,0.697936559200687,0.008979151080703903,0.6832393723810669,0.7061414598110287,4,431.02457642555237
3,20,7,30,64,15,0.6979701953545887,0.008978363017710928,0.6832615029979264,0.7061904206007794,4,567.9515841007233
3,20,7,30,128,5,0.6980981566107001,0.008974271111612453,0.6833817557654922,0.7063047048483451,4,291.9906666278839
3,20,7,30,128,10,0.6981310461078776,0.008995172334082488,0.6833973352524543,0.7064334157743676,4,431.1003773212433
3,20,7,30,128,15,0.6979784368636741,0.009008402352950291,0.6832145674272474,0.7062702911297796,4,574.8445119857788
3,20,10,10,32,5,0.6974594421254489,0.008922653920145308,0.6827378641964598,0.7050656887238436,4,126.64872002601624
3,20,10,10,32,10,0.6975470394207579,0.008819617688630517,0.6830191357773433,0.7052401120558451,4,187.42957472801208
3,20,10,10,32,15,0.6974090755456246,0.008683472718572009,0.6830911061324003,0.7049334860522211,4,246.30584168434143
3,20,10,10,64,5,0.6972184268327489,0.008963900843916715,0.6824762673728819,0.7052664218692685,4,126.13465476036072
3,20,10,10,64,10,0.6974004059221487,0.008795217025843616,0.6828757616436436,0.704841811964121,4,187.2246150970459
3,20,10,10,64,15,0.6976634161713741,0.008743489144847886,0.683168389814711,0.7050831273593827,4,244.66948819160461
3,20,10,10,128,5,0.6972879484028014,0.008874221980292366,0.6826948292448943,0.7052079824125657,4,127.33105635643005
3,20,10,10,128,10,0.6975566423428969,0.008572769401394157,0.6833248129436382,0.7047255652178623,4,188.6441044807434
3,20,10,10,128,15,0.6976072889296349,0.008904468905205111,0.6829719711355567,0.7054133886106518,4,247.74244737625122
3,20,10,15,32,5,0.6973272970382545,0.00888383930324356,0.6827212411204339,0.7053621803657453,4,188.88501381874084
3,20,10,15,32,10,0.697555359272691,0.008946659288501255,0.6829279526173243,0.7057547923142488,4,279.189879655838
3,20,10,15,32,15,0.6971661732702762,0.008683868482556614,0.6827554882679163,0.7043445921026881,4,367.95142102241516
3,20,10,15,64,5,0.6970714934777998,0.008774869525273149,0.6825975651711816,0.7046487504766755,4,189.31662464141846
3,20,10,15,64,10,0.6973831278409512,0.008878492395909737,0.6828334366117079,0.7054748375614902,4,279.6825087070465
3,20,10,15,64,15,0.6972091124788402,0.008862613413352633,0.6826160935560568,0.705090247787184,4,369.5898540019989
3,20,10,15,128,5,0.6972469464140526,0.008768181309989517,0.6827763680813556,0.7048527831606286,4,189.1567006111145
3,20,10,15,128,10,0.6972437031271939,0.008850204006772371,0.6827302344655062,0.7052552455514219,4,280.2366955280304
3,20,10,15,128,15,0.6973173466773791,0.008840173091507515,0.6828010764432668,0.705379462393516,4,369.83575344085693
3,20,10,20,32,5,0.6972856063693882,0.008934183228663257,0.6826433224338592,0.7053411645268335,4,251.2756748199463
3,20,10,20,32,10,0.6976083509084873,0.008897602432538277,0.6830102130354978,0.7056607858803462,4,370.0219759941101
3,20,10,20,32,15,0.6975350473366151,0.008943987166537376,0.6828726351371028,0.7057594324087928,4,490.5444755554199
3,20,10,20,64,5,0.6973992720699969,0.008868049861447631,0.6828398342294661,0.7053971882702256,4,251.23015570640564
3,20,10,20,64,10,0.6975935972322472,0.008937111459171317,0.6829431606682401,0.7057688106458487,4,370.76889395713806
3,20,10,20,64,15,0.6972484229904501,0.008865605290263357,0.6826569808179594,0.705064011003374,4,492.30686354637146
3,20,10,20,128,5,0.6973836353723183,0.008914057182101073,0.6827729608352744,0.7055998549747186,4,255.62130117416382
